citekey,title,link,your_decision (include/exclude),your_reason (IC/EC code)
alhilal2018,Future Architecture of the Interplanetary Internet,https://arxiv.org/abs/1810.01093,,
ashby2003,Relativity in the Global Positioning System,https://doi.org/10.12942/lrr-2003-1,,
attiya1995,Sharing Memory Robustly in Message-passing Systems,https://doi.org/10.1145/200836.200869,,
castaneda2018opodis,Concurrent Specifications Beyond Linearizability,https://doi.org/10.4230/LIPIcs.OPODIS.2018.28,,
davis2025,LeaseGuard: Raft Leases Done Right,https://doi.org/10.1145/3786663,,
evaluate_turkkan_2024,How to Evaluate Distributed Coordination Systems? -- A Survey and Analysis,https://doi.org/10.1109/tpds.2025.3631614,,
generative_liu_2026,Generative AI-Driven Adaptive Consistency Maintenance for Distributed Simulation Systems,https://doi.org/10.1109/gaiis69281.2026.11519245,,
howard2015,Raft Refloated: Do We Have Consensus?,https://doi.org/10.1145/2723872.2723876,,
jayanti2026,"Asynchronous Quantum Distributed Computing: Causality, Snapshots, and Global Operations",https://arxiv.org/abs/2604.08298,,
jensen2021,Examining Raft's Behaviour during Partial Network Failures,https://doi.org/10.1145/3447851.3458739,,
lamport1986,On Interprocess Communication. Part I: Basic Formalism,https://doi.org/10.1007/BF01786227,,
ledent2019,Geometric semantics for asynchronous computability,https://doi.org/10.70675/aa80e889z0cc4z4358zb7c6z9dc22bf0d1df,,
mason2026,Legible Consensus: Topology-Aware Quorum Geometry for Asymmetric Networks,https://arxiv.org/abs/2603.28788,,
mattern1992cite:malicious2008,DISTRIBUTED PROTOCOLS ROBUST AGAINST MALICIOUS ATTACKS,title:Distributed Protocols Robust against Malicious Attacks,,
mattern1992cite:msc2010,Diagnosis with Dynamic MSC Languages,title:Diagnosis with Dynamic MSC Languages,,
messerschmitt2023,Timing Relationships and Resulting Communications Challenges in Relativistic Travel,https://doi.org/10.1016/B978-0-323-91280-8.00012-5,,
naser-pastoriza2023,Fault-Tolerant Computing with Unreliable Channels (Extended Version),https://arxiv.org/abs/2305.15150,,
ng2023,Omni-Paxos: Breaking the Barriers of Partial Connectivity,https://doi.org/10.1145/3552326.3587441,,
omaha_mahamdi_2023,OMAHA: Opportunistic Message Aggregation for pHase-based Algorithms,https://doi.org/10.1109/prdc59308.2023.00027,,
zotero-item-557,A Latency-Tolerant Extension of the Raft Algorithm for Read-Only Operations in Spaceborne Systems,https://doi.org/10.1109/CISCE65916.2025.11065606,,
