citekey,doi_or_id,source,role,ta_decision,ta_reason,ft_available,ft_decision,ft_reason
2024,doi:10.1016/j.hcc.2024.100202,search,STUDY,include,IC1-IC4 met (survey; wireless comm./fault models),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
aeini2026,doi:10.1145/3820355.3820388,search,STUDY,include,IC1-IC4 met (IC1 relativistic model + Raft),yes (arXiv preprint),include,IC1-IC4 met (relativistic linearizability proof for an SMR incl. Raft)
alhilal2018,arXiv:1810.01093,search,STUDY,exclude,"IC1 (interplanetary network architecture; no consensus/SMR, no relativistic computation model)",,,
alquraan2018,url:https://www.usenix.org/conference/osdi18/presentation/alquraan,citation,STUDY,include,IC1-IC4 met (partition faults in leader-based systems; testbed),yes,include,IC1-IC4 met (partition-failure study of 25 systems incl. leader-based SMR; NEAT testbed)
ashby2003,doi:10.12942/lrr-2003-1,citation,STUDY,include,IC1-IC4 met (IC1 quantified relativistic timekeeping in the GPS clock network),yes,include,IC1-IC4 met (quantified relativistic clock effects in the GPS clock network)
burleigh2003,doi:10.1109/MCOM.2003.1204759,citation,BACKGROUND,,,,,
cerf2007,doi:10.17487/RFC4838,search,BACKGROUND,,,,,
chandra1996,doi:10.1145/226643.226647,citation,BACKGROUND,,,,,
corbett2013,doi:10.1145/2491245,citation,BACKGROUND,,,,,
davis2025,doi:10.1145/3786663,search,STUDY,include,IC1-IC4 met (Raft leases; TLA+),yes (arXiv preprint),include,IC1-IC4 met (Raft lease algorithm; TLA+; clock-bound assumptions)
dwork1988,doi:10.1145/42282.42283,citation,BACKGROUND,,,,,
elewaily2024,doi:10.1016/j.adhoc.2023.103307,search,STUDY,exclude,IC1 (DTN deep-space relay survey; no consensus/SMR) [title/venue only; no abstract],,,
fischer1985,doi:10.1145/3149.214121,citation,BACKGROUND,,,,,
gilbert2014,doi:10.1007/978-3-662-45174-8_25,search,STUDY,include,IC1-IC4 met (IC1 relativistic model) [title/venue only; no abstract],no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
gray1989,doi:10.1145/74850.74870,citation,BACKGROUND,,,,,
hayashibara2004,doi:10.1109/RELDIS.2004.1353004,citation,BACKGROUND,,,,,
herlihy1990,doi:10.1145/78969.78972,citation,BACKGROUND,,,,,
howard2014,url:https://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-857.pdf,search,STUDY,include,IC1-IC4 met (Raft simulation under varied network conditions),yes,include,IC1-IC4 met (Raft simulation under varied latency/loss/partitions)
howard2015,doi:10.1145/2723872.2723876,search,STUDY,include,IC1-IC4 met (Raft simulation on experimental topologies),yes,include,IC1-IC4 met (Raft election performance vs. timeouts and network latency; simulation)
howard2020,url:https://decentralizedthoughts.github.io/2020-12-12-raft-liveness-full-omission/,citation,STUDY,exclude,EC4 (blog post; not scholarly); could be kept as grey-literature BACKGROUND,,,
hu2026,arXiv:2603.18595,search,STUDY,include,"IC1-IC4 met (Raft over wireless SDR testbed); IC2 uncertain, check at full text",yes,include,IC1-IC4 met (Raft-like consensus over 802.11p channel with fading/packet loss; SDR testbed)
huang2018,doi:10.1109/TSMC.2019.2895471,search,STUDY,include,IC1-IC4 met (packet-loss analytical model),yes (arXiv preprint),include,IC1-IC4 met (analytical split probability vs. packet loss and election timeout)
jayanti2025,doi:10.1145/3732772.3733563,search,STUDY,include,IC1-IC4 met (IC1 relativistic model),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
jayanti2026,arXiv:2604.08298,search,STUDY,exclude,"IC1 (asynchronous quantum model; no relativistic spacetime, not SMR; quantum out of scope)",,,
jeffery2023,arXiv:2311.09929,forward:jensen2021,STUDY,include,"IC1-IC4 met (etcd/Raft under edge network constraints); IC1 uncertain (replaces Raft with CRDTs), check at full text",yes,include,IC1-IC4 met (etcd/Raft evaluated under edge partitions and latency; low relevance)
jensen2021,doi:10.1145/3447851.3458739,citation,STUDY,include,IC1-IC4 met (partial network failures; emulation),yes,include,IC1-IC4 met (Raft/etcd under partial network partitions; emulation)
kettaneh2026,doi:10.1145/3788853.3803081,forward:ng2023,STUDY,include,IC1-IC4 met (Raft leader leases; asymmetric network faults),yes,include,"IC1-IC4 met (Raft leader leases, clock assumptions, asymmetric network faults)"
kitchenham2007,report:EBSE-2007-01,method,BACKGROUND,,,,,
kovacevic2024,doi:10.1209/0295-5075/ad3eae,forward:messerschmitt2017,STUDY,exclude,EC3 (channel capacity under relativistic motion; no distributed-system or timing-coordination model),,,
lamport1978,doi:10.1145/359545.359563,citation,BACKGROUND,,,,,
li2023,doi:10.1109/JIOT.2023.3257402,search,STUDY,include,IC1-IC4 met (probabilistic node/link failure model),yes,include,IC1-IC4 met (probabilistic node/link failure model for Raft)
li2026,doi:10.1109/TON.2026.3667834,search,STUDY,include,IC1-IC4 met (link-loss probability model),yes (arXiv preprint),include,IC1-IC4 met (link-loss probabilistic reliability of Raft and others)
li2026a,doi:10.1007/s43684-026-00126-3,search,STUDY,include,"IC1-IC4 met (Raft variant for satellite links; delay/instability); EC1 borderline, check at full text",yes,include,IC1-IC4 met (Raft variant; simulated WAN latency 50-2000 ms RTT; safety argument p.9)
liskov1993,doi:10.1007/BF02242709,citation,BACKGROUND,,,,,
luo2023,arXiv:2304.08697,search,STUDY,include,"IC1-IC4 met (wireless channel model: path loss, fading)",yes,include,"IC1-IC4 met (Raft/PBFT under path loss and fading channel model; text layer missing, read from page images)"
mason2026,arXiv:2603.28788,search,STUDY,include,IC1-IC4 met (quorum consensus over Earth/LEO/Moon/Mars light-time topology; TLA+),yes,include,IC1-IC4 met (quorum consensus over light-time Earth/LEO/Moon/Mars topology; TLA+)
matherat2003,doi:10.1017/S0960129503004067,search,STUDY,include,IC1-IC4 met (IC1 computation vs relativistic causal structure),yes (arXiv preprint),include,IC1-IC4 met (computing machines vs. Newtonian/relativistic causal structure)
matherat2011,doi:10.1145/2043643.2043650,search,STUDY,include,IC1-IC4 met (IC1 relativistic causality in clockless circuits),yes (arXiv preprint),include,IC1-IC4 met (relativistic causality formalism for delay-insensitive circuits)
mattern1992,url:https://vs.inf.ethz.ch/publ/papers/relativistic_time.pdf,citation,STUDY,include,IC1-IC4 met (IC1 vector time vs Minkowski structure),yes,include,IC1-IC4 met (vector time as Minkowski-like causal structure)
messerschmitt2017,doi:10.1109/JPROC.2017.2717980,search,STUDY,include,IC1-IC4 met (IC1 quantified relativistic timekeeping in distributed systems),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
messerschmitt2023,doi:10.1016/B978-0-323-91280-8.00012-5,search,STUDY,include,"IC1-IC4 met (IC1 local-clock timing of query/response under relativistic travel); EC3 borderline, check at full text",yes (arXiv preprint),include,IC1-IC4 met (local-clock timing and query/response latency under relativistic motion)
naser-pastoriza2023,arXiv:2305.15150,forward:jensen2021+ng2023,STUDY,include,IC1-IC4 met (partially synchronous consensus with channel failures),yes,include,IC1-IC4 met (partially synchronous consensus under flaky channels)
naser-pastoriza2025,doi:10.1145/3732772.3733529,forward:ng2023,STUDY,include,IC1-IC4 met (channel-failure bounds),yes (arXiv preprint),include,IC1-IC4 met (tight bounds under process-channel failures)
ng2023,doi:10.1145/3552326.3587441,search,STUDY,include,IC1-IC4 met (partial connectivity),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
